Mã quy tắc (rule_code),Hoạt chất A (generic_a),Hoạt chất B (generic_b),Mức độ (severity),Mức độ gốc (nhic_severity_raw),Hậu quả lâm sàng (clinical_effect),Cơ chế (mechanism),Khuyến cáo xử trí (recommendation),NHIC UID
DDI-NHIC-CLARITRO-COLCICIN-044,clarithromycin,colchicin,high,Chống chỉ định có điều kiện,"Tăng nồng độ colchicin trong huyết thanh, tăng nguy cơ tác dụng độc tính (tiêu chảy, nôn, đau bụng, sốt, xuất huyết, giảm cả ba dòng tế bào máu, các dấu hiệu độc tính trên cơ như đau cơ, mỏi cơ hoặc yếu cơ, nước tiểu sẫm màu, dị cảm, trường hợp nặng có thể gây suy đa tạng và tử vong).",Clarithromycin ức chế mạnh CYP3A4 và ức chế P-gp làm giảm chuyển hóa và thải trừ colchicin.,"1. Chống chỉ định ở bệnh nhân suy gan hoặc suy thận.
2. Ở bệnh nhân chức năng gan, thận bình thường: nên tránh phối hợp. Nếu phối hợp: giảm liều colchicin. Dùng liều tiếp theo của colchicin sau 3 ngày. Theo dõi nguy cơ độc tính của colchicin.",4072B28C-BCFF-4465-B7BC-48665D343264
DDI-NHIC-CLARITRO-DIHIDROE-045,clarithromycin,dihydroergotamin,high,Chống chỉ định,"Tăng nồng độ của dihydroergotamin trong huyết thanh, tăng nguy cơ độc tính (nôn, buồn nôn, hoại tử đầu chi, thiếu máu cục bộ do co thắt mạch…)",Clarithromycin ức chế CYP3A4 mạnh làm giảm chuyển hóa của dihydroergotamin,Chống chỉ định phối hợp,40C27EB8-BFD2-4EE6-8B76-8DDE403B9F4D
DDI-NHIC-CLARITRO-ERGOMETR-046,clarithromycin,ergometrin,high,Chống chỉ định,"Tăng nồng độ của ergometrin trong huyết thanh, tăng nguy cơ độc tính (nôn, buồn nôn, hoại tử đầu chi, thiếu máu cục bộ do co thắt mạch…)",Clarithromycin ức chế CYP3A4 mạnh làm giảm chuyển hóa của ergometrin,Chống chỉ định phối hợp,EEA4A2FA-E203-4172-B593-0B5D70760EC6
DDI-NHIC-CLARITRO-IVABRADI-047,clarithromycin,ivabradin,high,Chống chỉ định,"Tăng nồng độ ivabradin trong huyết thanh, tăng nguy cơ kéo dài khoảng QT và chậm nhịp tim",Clarithromycin ức chế CYP3A4 mạnh làm giảm chuyển hóa của ivabradin,"Chống chỉ định phối hợp.
Cân nhắc thay đổi sang các thuốc nhóm khác có cùng chỉ định và ít có nguy cơ tương tác hơn: Trong trường hợp bắt buộc sử dụng kháng sinh macrolid, thay clarithromycin bằng azithromycin.",81BA9708-5234-4B00-803E-E4A112CF8884
DDI-NHIC-CLARITRO-TICAGREL-048,clarithromycin,ticagrelor,high,Chống chỉ định,"Tăng nồng độ của ticagrelor trong huyết thanh, tăng nguy cơ xuất huyết",Clarithromycin ức chế CYP3A4 mạnh làm giảm chuyển hóa của ticagrelor,"Chống chỉ định phối hợp.
Cân nhắc thay đổi sang các thuốc nhóm khác có cùng chỉ định và ít có nguy cơ tương tác hơn: Trong trường hợp bắt buộc sử dụng kháng sinh macrolid, thay clarithromycin bằng azithromycin.",923FA2DB-8C41-4E59-A62E-308993897EC5
DDI-NHIC-CLARITRO-FELODIPI-049,clarithromycin,felodipin,high,Chống chỉ định,"Tăng nồng độ felodipin, tăng nguy cơ hạ huyết áp nghiêm trọng",Clarithromycin ức chế CYP3A4 mạnh làm giảm chuyển hóa của felodipin,"Chống chỉ định phối hợp.
Cân nhắc thay đổi sang các thuốc nhóm khác có cùng chỉ định và ít có nguy cơ tương tác hơn: Trong trường hợp bắt buộc sử dụng kháng sinh macrolid, thay clarithromycin bằng azithromycin.",FE4D9533-95B4-4530-949E-D396E11C97AD
DDI-NHIC-CLARITRO-DOMPERID-050,clarithromycin,domperidon,high,Chống chỉ định,"Tăng nồng độ domperidon trong huyết thanh, tăng nguy cơ kéo dài khoảng QT",Clarithromycin ức chế CYP3A4 làm giảm chuyển hóa của domperidon,Chống chỉ định phối hợp,5430DDD5-BA03-418D-898B-93D955050E66
DDI-NHIC-BOCEPREV-COLCICIN-051,boceprevir,colchicin,high,Chống chỉ định có điều kiện,"Tăng nồng độ colchicin trong huyết thanh, tăng nguy cơ tác dụng độc tính (tiêu chảy, nôn, đau bụng, sốt, xuất huyết, giảm cả ba dòng tế bào máu, các dấu hiệu độc tính trên cơ như đau cơ, mỏi cơ hoặc yếu cơ, nước tiểu sẫm màu, dị cảm, trường hợp nặng có thể gây suy đa tạng và tử vong).",Boceprevir ức chế CYP3A4 mạnh làm giảm chuyển hóa của colchicin,"1. Chống chỉ định ở bệnh nhân suy gan hoặc suy thận.
2. Ở bệnh nhân chức năng gan, thận bình thường: nên tránh phối hợp. Nếu phối hợp: giảm liều colchicin. Dùng liều tiếp theo của colchicin sau 3 ngày. Theo dõi nguy cơ độc tính của colchicin.",11439E0C-2888-4BCF-AE6C-180494899125
DDI-NHIC-CICLOSPO-COLCICIN-052,ciclosporin,colchicin,high,Chống chỉ định có ��iều kiện,"Tăng nồng độ colchicin trong huyết thanh, tăng nguy cơ tác dụng độc tính (tiêu chảy, nôn, đau bụng, sốt, xuất huyết, giảm cả ba dòng tế bào máu, các dấu hiệu độc tính trên cơ như đau cơ, mỏi cơ hoặc yếu cơ, nước tiểu sẫm màu, dị cảm, trường hợp nặng có thể gây suy đa tạng và tử vong).",Ciclosporin ức chế P-gp làm giảm thải trừ colchicin.,"1. Chống chỉ định ở bệnh nhân suy gan hoặc suy thận.
2. Ở bệnh nhân chức năng gan, thận bình thường: nên tránh phối hợp. Nếu phối hợp: giảm liều colchicin. Dùng liều tiếp theo của colchicin sau 3 ngày. Theo dõi nguy cơ độc tính của colchicin.",22ED5F86-ECA5-4EC9-95F4-F12564ADB24D
DDI-NHIC-COLCICIN-LOPINAVI-053,colchicin,lopinavir/ritonavir,high,Chống chỉ định có điều kiện,"Tăng nồng độ colchicin trong huyết thanh, tăng nguy cơ tác dụng độc tính (tiêu chảy, nôn, đau bụng, sốt, xuất huyết, giảm cả ba dòng tế bào máu, các dấu hiệu độc tính trên cơ như đau cơ, mỏi cơ hoặc yếu cơ, nước tiểu sẫm màu, dị cảm, trường hợp nặng có thể gây suy đa tạng và tử vong).",Ritonavir ức chế mạnh CYP3A4 và ức chế P-gp làm giảm chuyển hóa và thải trừ colchicin.,"1. Chống chỉ định ở bệnh nhân suy gan hoặc suy thận.
2. Ở bệnh nhân chức năng gan, thận bình thường: nên tránh phối h��p. Nếu phối hợp: giảm liều colchicin. Dùng liều tiếp theo của colchicin sau 3 ngày. Theo dõi nguy cơ độc tính của colchicin.",39D6D777-B155-4937-9FC2-F8A1B21C105E
DDI-NHIC-COLCICIN-ITRACONA-054,colchicin,itraconazol,high,Chống chỉ định có điều kiện,"Tăng nồng độ colchicin trong huyết thanh, tăng nguy cơ tác dụng độc tính (tiêu chảy, nôn, đau bụng, sốt, xuất huyết, giảm cả ba dòng tế bào máu, các dấu hiệu độc tính trên cơ như đau cơ, mỏi cơ hoặc yếu cơ, nước tiểu sẫm màu, dị cảm, trường hợp nặng có thể gây suy đa tạng và tử vong).",Itraconazol ức chế mạnh CYP3A4 và ức chế P-gp làm giảm chuyển hóa và thải trừ colchicin.,"1. Chống chỉ định ở bệnh nhân suy gan hoặc suy thận.
2. Ở bệnh nhân chức năng gan, thận bình thường: nên tránh phối hợp. Nếu phối hợp: giảm liều colchicin. Dùng liều tiếp theo của colchicin sau 3 ngày. Theo dõi nguy cơ độc tính của colchicin.",E3166376-72F8-4666-8858-CBCEA12D618A
DDI-NHIC-COLCICIN-ERITROMI-055,colchicin,erythromycin,high,Chống chỉ định có điều kiện,"Tăng nồng độ colchicin trong huyết thanh, tăng nguy cơ tác dụng độc tính (tiêu chảy, nôn, đau bụng, sốt, xuất huyết, giảm cả ba dòng tế bào máu, các dấu hiệu độc tính trên cơ như đau cơ, m��i cơ hoặc yếu cơ, nước tiểu sẫm màu, dị cảm, trường hợp nặng có thể gây suy đa tạng và tử vong).",Erythromycin ức chế mạnh CYP3A4 và ức chế P-gp làm giảm chuyển hóa và thải trừ colchicin.,"1. Chống chỉ định ở bệnh nhân suy gan hoặc suy thận.
2. Ở bệnh nhân chức năng gan, thận bình thường: nên tránh phối hợp. Nếu phối hợp: giảm liều colchicin. Dùng liều tiếp theo của colchicin sau 3 ngày. Theo dõi nguy cơ độc tính của colchicin.",264726CF-8EC6-40F5-87F0-0297B91A6F4C
DDI-NHIC-COLCICIN-VERAPAMI-056,colchicin,verapamil,high,Chống chỉ định có điều kiện,"Tăng nồng độ colchicin trong huyết thanh, tăng nguy cơ tác dụng độc tính (tiêu chảy, nôn, đau bụng, sốt, xuất huyết, giảm cả ba dòng tế bào máu, các dấu hiệu độc tính trên cơ như đau cơ, mỏi cơ hoặc yếu cơ, nước tiểu sẫm màu, dị cảm, trường hợp nặng có thể gây suy đa tạng và tử vong).",Verapamil ức chế P-gp làm giảm thải trừ colchicin.,"1. Chống chỉ định ở bệnh nhân suy gan hoặc suy thận.
2. Ở bệnh nhân chức năng gan, thận bình thường: nên tránh phối hợp. Nếu phối hợp: giảm liều colchicin. Dùng liều tiếp theo của colchicin sau 3 ngày. Theo dõi nguy cơ độc tính của colchicin.",8281DA6D-051B-459D-8984-C5E048F3E3A5
DDI-NHIC-COLCICIN-DILTIAZE-057,colchicin,diltiazem,high,Chống chỉ định có điều kiện,"Tăng nồng độ colchicin trong huyết thanh, tăng nguy cơ tác dụng độc tính (tiêu chảy, nôn, đau bụng, sốt, xuất huyết, giảm cả ba dòng tế bào máu, các dấu hiệu độc tính trên cơ như đau cơ, mỏi cơ hoặc yếu cơ, nước tiểu sẫm màu, dị cảm, trường hợp nặng có thể gây suy đa tạng và tử vong).",Diltiazem ức chế P-gp làm giảm thải trừ colchicin.,"1. Chống chỉ định ở bệnh nhân suy gan hoặc suy thận.
2. Ở bệnh nhân chức năng gan, thận bình thường: nên tránh phối hợp. Nếu phối hợp: giảm liều colchicin. Dùng liều tiếp theo của colchicin sau 3 ngày. Theo dõi nguy cơ độc tính của colchicin.",8324F678-326B-4C23-A0F8-421F613F3FF4
DDI-NHIC-CICLOSPO-COLCICIN-058,cyclosporin,colchicin,high,Chống chỉ định có điều kiện,"Tăng nồng độ colchicin trong huyết thanh, tăng nguy cơ tác dụng độc tính (tiêu chảy, nôn, đau bụng, sốt, xuất huyết, giảm cả ba dòng tế bào máu, các dấu hiệu độc tính trên cơ như đau cơ, mỏi cơ hoặc yếu cơ, nước tiểu sẫm màu, dị cảm, trường hợp nặng có thể gây suy đa tạng và tử vong).",Cyclosporin ức chế P-gp làm giảm thải trừ colchicin.,"1. Chống chỉ định ở bệnh nhân suy gan hoặc suy thận.
2. Ở bệnh nhân chức năng gan, thận bình thường: nên tránh phối hợp. Nếu phối hợp: giảm liều colchicin. Dùng liều tiếp theo của colchicin sau 3 ngày. Theo dõi nguy cơ độc tính của colchicin.",5A0CABD7-D0F9-4B76-8FE7-52027F4BDD62
DDI-NHIC-DECSIBUP-KETOROLA-059,dexibuprofen,ketorolac,high,Chống chỉ định,Tăng nguy cơ xuất huyết tiêu hóa nghiêm trọng (sử dụng đồng thời ketorolac với 1 NSAID khác làm tăng nguy cơ xuất huyết tiêu hóa gấp 5 lần so với phối hợp 2 NSAID khác),Hiệp đồng tác dụng kích ứng đường tiêu hóa,Chống chỉ định phối hợp. Cần đặc biệt lưu ý nguy cơ tương tác trong trường hợp giảm đau hậu phẫu.,C9480420-AB92-4EF5-A233-D0B325C3F46A
DDI-NHIC-DECSTROM-LINEZOLI-060,dextromethorphan,linezolid,high,Chống chỉ định có điều kiện,"Tăng nguy cơ hội chứng serotonin (sốt cao, rối loạn nhận thức, tăng phản xạ, mất phối hợp, rung giật cơ, cứng cơ, co giật, nhịp tim nhanh, tăng huyết áp, tăng thân nhiệt, vã mồ hôi, ảo giác, kích động hoặc bồn chồn…)",Hiệp đồng tác dụng serotonin,"1. Cố gắng tránh sử dụng đồng thời linezolid và dextromethorphan. Tốt nhất các thuốc này nên sử dụng cách nhau 2 tuần. Cân nhắc thay đổi sang các thuốc nhóm khác có cùng chỉ định và ít có nguy cơ tương tác hơn. Trong trường hợp bắt buộc sử dụng opioid, có thể đổi sang các opiod khác không có hoạt tính ức chế thu hồi serotonin (codein)
2. Trong hợp không thể trì hoãn điều trị được 2 tuần, bắt buộc sử dụng dài ngày hoặc khẩn cấp bằng linezolid và không có thuốc khác thay thế, cân bằng lợi ích và nguy cơ xảy ra hội chứng serotonin. Nếu lợi ích vượt trội nguy cơ, vẫn có thể sử dụng đồng thời nhưng cần giám sát chặt chẽ chặt chẽ bệnh nhân, đặc biệt trong tháng đầu tiên sử dụng đồng thời 2 thuốc.",93A654A9-F472-422F-9E7C-C5A11ABA9B27
DDI-NHIC-DECSTROM-FLUOCSET-061,dextromethorphan,fluoxetin,high,Chống chỉ định,"Tăng nồng độ dextromethorphan, tăng nguy cơ độc tính (nôn, buồn nôn, nhìn mờ, ảo giác) hoặc tăng nguy cơ hội chứng serotonin (sốt cao, rối loạn nhận thức, tăng phản xạ, mất phối hợp, rung giật cơ, cứng cơ, co giật, nhịp tim nhanh, tăng huyết áp, tăng thân nhiệt, vã mồ hôi, ảo giác, kích động hoặc bồn chồn…)",Fluoxetin ức chế CYP2D6 làm giảm chuyển hóa của dextromethorphan,Chống chỉ định phối hợp,5CD5FA3F-D428-4173-98DB-57278CC08B84
DDI-NHIC-BOCEPREV-DIHIDROE-062,boceprevir,dihydroergotamin,high,Chống chỉ định,"Tăng nồng độ của dihydroergotamin trong huyết thanh, tăng nguy cơ độc tính (nôn, buồn nôn, hoại tử đầu chi, thiếu máu cục bộ do co thắt mạch…)",Boceprevir ức chế CYP3A4 mạnh làm giảm chuyển hóa của dihydroergotamin,Chống chỉ định phối hợp,955618FB-1B51-4C6D-9E3C-1B3A6C0C11FA
DDI-NHIC-DARUNAVI-DIHIDROE-063,darunavir/ritonavir,dihydroergotamin,high,Chống chỉ định,"Tăng nồng độ của dihydroergotamin trong huyết thanh, tăng nguy cơ độc tính (nôn, buồn nôn, hoại tử đầu chi, thiếu máu cục bộ do co thắt mạch…)",Darunavir/ritonavir ức chế CYP3A4 mạnh làm giảm chuyển hóa của dihydroergotamin,Chống chỉ định phối hợp,339D8F93-9166-4CA2-8141-009C67DBEEE6
DDI-NHIC-DIHIDROE-ERITROMI-064,dihydroergotamin,erythromycin,high,Chống chỉ định,"Tăng nồng độ của dihydroergotamin trong huyết thanh, tăng nguy cơ độc tính (nôn, buồn nôn, hoại tử đầu chi, thiếu máu cục bộ do co thắt mạch…)",Erythromycin ức chế CYP3A4 mạnh làm giảm chuyển hóa của dihydroergotamin,Chống chỉ định phối hợp,241C8C15-515E-40D5-8B55-D078FADDDAF9
DDI-NHIC-DIHIDROE-ITRACONA-065,dihydroergotamin,itraconazol,high,Chống chỉ định,"Tăng nồng độ của dihydroergotamin trong huyết thanh, tăng nguy cơ độc tính (nôn, buồn nôn, hoại tử đầu chi, thiếu máu cục bộ do co thắt mạch…)",Itraconazol ức chế CYP3A4 mạnh làm giảm chuyển hóa của dihydroergotamin,Chống chỉ định phối hợp,081638CB-EB4F-4B57-9157-83F84404DEFD
DDI-NHIC-DIHIDROE-LOPINAVI-066,dihydroergotamin,lopinavir/ritonavir,high,Chống chỉ định,"Tăng nồng độ của dihydroergotamin trong huyết thanh, tăng nguy cơ độc tính (nôn, buồn nôn, hoại tử đầu chi, thiếu máu cục bộ do co thắt mạch…)",Lopinavir/ritonavir ức chế CYP3A4 mạnh làm giảm chuyển hóa của dihydroergotamin,Chống chỉ định phối hợp,97F367C5-66B8-45C1-A38D-55A8C13362F7
DDI-NHIC-DILTIAZE-IVABRADI-067,diltiazem,ivabradin,high,Chống chỉ định,"Tăng nồng độ ivabradin trong huyết thanh, tăng nguy cơ kéo dài khoảng QT và chậm nhịp tim",Diltiazem ức chế CYP3A4 làm giảm chuyển hóa của ivabradin và hiệp đồng tác dụng làm chậm nhịp tim của ivabradin,Chống chỉ định phối hợp,F071F8D8-583C-46C5-A984-2A5A1BFF4A01
DDI-NHIC-ACITRETI-DOCSICIC-068,acitretin,doxycyclin,high,Chống chỉ định,"Tăng nguy cơ tăng áp nội sọ lành tính (phù gai thị, đau đầu, buồn nôn và nôn, và rối loạn thị giác)",Hiệp đồng tăng độc tính,Chống chỉ định phối hợp,8A71AD15-8135-47D4-9F1C-CD43D6B99C92
DDI-NHIC-DOCSICIC-ISOTRETI-069,doxycyclin,isotretinoin,high,Chống chỉ định,"Tăng nguy cơ tăng áp nội sọ lành tính (phù gai thị, đau đầu, buồn nôn và nôn, và rối loạn thị giác)",Hiệp đồng tăng độc tính,Chống chỉ định phối hợp,C3589C2E-5FCE-418D-92E0-01525F5C3F5A
DDI-NHIC-ARSENICT-DOMPERID-070,arsenic trioxid,domperidon,high,Chống chỉ định,"Tăng nguy cơ kéo dài khoảng QT, xoắn đỉnh",Hiệp đồng tăng tác dụng,Chống chỉ định phối hợp.,F26B8B87-4EF0-41DB-A533-7F9572030236
DDI-NHIC-ARTEMETE-DOMPERID-071,artemether/lumefantrin,domperidon,high,Chống chỉ định,"Tăng nguy cơ kéo dài khoảng QT, xoắn đỉnh",Hiệp đồng tăng tác dụng,Chống chỉ định phối hợp.,CE9384B7-544F-471C-B60C-ED51F32F029B
DDI-NHIC-CILOSTAZ-DOMPERID-072,cilostazol,domperidon,high,Chống chỉ định,"Tăng nguy cơ kéo dài khoảng QT, xoắn đỉnh",Hiệp đồng tăng tác dụng,Chống chỉ định phối hợp.,27241B67-5E4C-4121-8AE1-8F3DBA3BCE04
DDI-NHIC-CITALOPR-DOMPERID-073,citalopram,domperidon,high,Chống chỉ định,"Tăng nguy cơ kéo dài khoảng QT, xoắn đỉnh",Hiệp đồng tăng tác dụng,Chống chỉ định phối hợp.,32A7ED8A-0E7C-48AB-8FF7-BFA750DFEB62
DDI-NHIC-CLOROQUI-DOMPERID-074,cloroquin,domperidon,high,Chống chỉ định,"Tăng nguy cơ kéo dài khoảng QT, xoắn đỉnh",Hiệp đồng tăng tác dụng,Chống chỉ định phối hợp.,DAA2DFB5-C3B3-4C98-9A7A-D7CFC616DD92
DDI-NHIC-DARUNAVI-DOMPERID-075,darunavir/ritonavir,domperidon,high,Chống chỉ định,"Tăng nồng độ domperidon trong huyết thanh, tăng nguy cơ kéo dài khoảng QT",Darunavir/ritonavir ức chế CYP3A4 làm giảm chuyển hóa của domperidon,Chống chỉ định phối hợp,03EF764A-410E-4F46-B939-167978BF9706
DDI-NHIC-DOMPERID-HALOPERI-076,domperidon,haloperidol,high,Chống chỉ định,"Tăng nguy cơ kéo dài khoảng QT, xoắn đỉnh",Hiệp đồng tăng tác dụng,Chống chỉ định phối hợp.,C501A326-07E9-4653-AC61-6827C68056FA
DDI-NHIC-DOMPERID-SPIRAMIC-077,domperidon,spiramycin,high,Chống chỉ định,"Tăng nguy cơ kéo dài khoảng QT, xoắn đỉnh",Hiệp đồng tăng tác dụng,Chống chỉ định phối hợp.,22275D7C-9DAD-489B-A5D3-7442F9E18A3E
DDI-NHIC-DOMPERID-MOCSIFLO-078,domperidon,moxifloxacin,high,Chống chỉ định,"Tăng nguy cơ kéo dài khoảng QT, xoắn đỉnh",Hiệp đồng tăng tác dụng,Chống chỉ định phối hợp.,5815288C-9C8C-4661-B331-28A42C47EE56
DDI-NHIC-DOMPERID-LEVOFLOC-079,domperidon,levofloxacin,high,Chống chỉ định,"Tăng nguy cơ kéo dài khoảng QT, xoắn đỉnh",Hiệp đồng tăng tác dụng,Chống chỉ định phối hợp.,98C50B8A-0D0D-482A-BDB5-C24FC58453B9
DDI-NHIC-DOMPERID-LOPINAVI-080,domperidon,lopinavir/ritonavir,high,Chống chỉ định,"Tăng nồng độ domperidon trong huyết thanh, tăng nguy cơ kéo dài khoảng QT",Lopinavir/ritonavir ức chế CYP3A4 làm giảm chuyển hóa của domperidon,Chống chỉ định phối hợp,DB1DC210-A2B8-44D1-A286-EC3916A5FD5F
DDI-NHIC-DOMPERID-ITRACONA-081,domperidon,itraconazol,high,Chống chỉ định,"Tăng nồng độ domperidon trong huyết thanh, tăng nguy cơ kéo dài khoảng QT",Itraconazol ức chế CYP3A4 làm giảm chuyển hóa của domperidon,Chống chỉ định phối hợp,8ED908A0-7AFA-474F-B4C3-DEEDB70C6E95
DDI-NHIC-DOMPERID-ERITROMI-082,domperidon,erythromycin,high,Chống chỉ định,"Tăng nồng độ domperidon trong huyết thanh, tăng nguy cơ kéo dài khoảng QT",Erythromcyin ức chế CYP3A4 làm giảm chuyển hóa của domperidon,Chống chỉ định phối hợp,521745A4-8DEF-4A7D-A31F-950941E29A64
DDI-NHIC-DOMPERID-LEVOSULP-083,domperidon,levosulpirid,high,Chống chỉ định,"Tăng nguy cơ kéo dài khoảng QT, xoắn đỉnh",Hiệp đồng tăng tác dụng,Chống chỉ định phối hợp.,7330F9C3-73EB-40EC-91AB-1F0829B61F0A
DDI-NHIC-DOMPERID-ONDANSET-084,domperidon,ondansetron,high,Chống chỉ định,"Tăng nguy cơ kéo dài khoảng QT, xoắn đỉnh",Hiệp đồng tăng tác dụng,Chống chỉ định phối hợp.,6322454D-E59D-4AC3-BFB7-B07F190C641D
DDI-NHIC-DOMPERID-PROPOFOL-085,domperidon,propofol,high,Chống chỉ định,"Tăng nguy cơ kéo dài khoảng QT, xoắn đỉnh",Hiệp đồng tăng tác dụng,Chống chỉ định phối hợp.,05B11E87-370B-451A-A0B7-FB9E02DA793F
DDI-NHIC-DOMPERID-SEVOFLUR-086,domperidon,sevofluran,high,Chống chỉ định,"Tăng nguy cơ kéo dài khoảng QT, xoắn đỉnh",Hiệp đồng tăng tác dụng,Chống chỉ định phối hợp.,49CE5B07-DA1C-4EE1-89B1-40B54A36BEBE
DDI-NHIC-DOMPERID-SULPIRID-087,domperidon,sulpirid,high,Chống chỉ định,"Tăng nguy cơ kéo dài khoảng QT, xoắn đỉnh",Hiệp đồng tăng tác dụng,Chống chỉ định phối hợp.,D539FF3B-1852-468C-9EF0-4FCDDF0DCF10
DDI-NHIC-ALISKIRE-ENALAPRI-088,aliskiren,enalapril,high,Chống chỉ định có điều kiện,"Tăng nguy cơ tăng kali máu, suy thận và hạ huyết áp",Hiệp đồng tăng tác dụng,"1. Chống chỉ định ở bệnh nhân đái tháo đường hoặc suy thận (MLCT < 60 ml/ph/1,73 m²).
2. Ở các đối tượng khác, cũng nên tránh phối hợp này. Trong trường hợp bắt buộc phối hợp, theo dõi chặt chẽ kali, creatinin và huyết áp của bệnh nhân.",98DC45DB-290A-4704-9883-6BD59999001A
DDI-NHIC-EFEDRIN-LINEZOLI-089,ephedrin,linezolid,high,Chống chỉ định,"Tăng nguy cơ xuất hiện cơn tăng huyết áp (đau đầu, đánh trống ngực, cứng cổ, tăng huyết áp)",Tăng tích lũy noradrenalin (norepinephrin),"1. Chống chỉ định sử dụng ephedrin sử dụng đường uống đồng thời hoặc trong vòng 14 ngày trước đó có sử dụng linezolid.
2. Đối với ephedrin sử dụng đường tiêm, cần sử dụng rất thận trọng trên bệnh nhân đang dùng linezolid trong điều kiện giám sát huyết áp chặt chẽ.",487B4B91-960E-44F8-9499-A16345BF7EAD
DDI-NHIC-BOCEPREV-ERGOMETR-090,boceprevir,ergometrin,high,Chống chỉ định,"Tăng nồng độ của ergometrin trong huyết thanh, tăng nguy cơ độc tính (nôn, buồn nôn, hoại tử đầu chi, thiếu máu cục bộ do co thắt mạch…)",Boceprevir ức chế CYP3A4 mạnh làm giảm chuyển hóa của ergometrin,Chống chỉ định phối hợp,BE9E0648-3E6D-4CC6-89C7-22CE50B70ABD
DDI-NHIC-DARUNAVI-ERGOMETR-091,darunavir/ritonavir,ergometrin,high,Chống chỉ định có điều kiện,"Tăng nồng độ của ergometrin trong huyết thanh, tăng nguy cơ độc tính (nôn, buồn nôn, hoại tử đầu chi, thiếu máu cục bộ do co thắt mạch…)",Darunavir/ritonavir ức chế CYP3A4 mạnh làm giảm chuyển hóa của ergometrin,"Tốt nhất nên tránh phối hợp. Đối với trường hợp điều trị băng huyết sau sinh, nếu không còn thuốc khác thay thế ở người bệnh đang sử dụng darunavir, sử dụng ergometrin chỉ khi lợi ích vượt trội nguy cơ và sử dụng liều thấp nhất có hiệu quả trong thời gian ngắn nhất.",14DBDCD8-9AAC-41C9-BE0B-B1F062DF56AE
DDI-NHIC-ERGOMETR-ERITROMI-092,ergometrin,erythromycin,high,Chống chỉ định,"Tăng nồng độ của ergometrin trong huyết thanh, tăng nguy cơ độc tính (nôn, buồn nôn, hoại tử đầu chi, thiếu máu cục bộ do co thắt mạch…)",Erythromycin ức chế CYP3A4 mạnh làm giảm chuyển hóa của ergometrin,Chống chỉ định phối hợp,CA5FB0B1-601E-4B26-9682-0EE99E0F8D7E
DDI-NHIC-ERGOMETR-ITRACONA-093,ergometrin,itraconazol,high,Chống chỉ định,"Tăng nồng độ của ergometrin trong huyết thanh, tăng nguy cơ độc tính (nôn, buồn nôn, hoại tử đầu chi, thiếu máu cục bộ do co thắt mạch…)",Itraconazol ức chế CYP3A4 mạnh làm giảm chuyển hóa của ergometrin,Chống chỉ định phối hợp,2C80C080-5241-4093-BA8E-0DE90E56A486
DDI-NHIC-ERGOMETR-LOPINAVI-094,ergometrin,lopinavir/ritonavir,high,Chống chỉ định có điều kiện,"Tăng nồng độ của ergometrin trong huyết thanh, tăng nguy cơ độc tính (nôn, buồn nôn, hoại tử đầu chi, thiếu máu cục bộ do co thắt mạch…)",Lopinavir/ritonavir ức chế CYP3A4 mạnh làm giảm chuyển hóa của ergometrin,"Tốt nhất nên tránh phối hợp. Đối với trường hợp điều trị băng huyết sau sinh, nếu không còn thuốc khác thay thế ở người bệnh đang sử dụng lopinavir/ritonavir, sử dụng ergometrin chỉ khi lợi ích vượt trội nguy cơ và sử dụng liều thấp nhất có hiệu quả trong thời gian ngắn nhất.",34B2A87B-EA5A-429C-88BA-5D9BFD583F1D
DDI-NHIC-ERGOTAMI-ERITROMI-095,ergotamin,erythromycin,high,Chống chỉ định,"Tăng nồng độ của ergotamin trong huyết thanh, tăng nguy cơ độc tính (nôn, buồn nôn, hoại tử đầu chi, thiếu máu cục bộ do co thắt mạch…)",Erythromycin ức chế CYP3A4 mạnh làm giảm chuyển hóa của ergotamin,Chống chỉ định phối hợp,B164C9AD-9201-4259-9859-B7F24D0D5863
DDI-NHIC-ERITROMI-LOVASTAT-096,erythromycin,lovastatin,high,Chống chỉ định,"Tăng nồng độ của lovastatin trong huyết thanh, tăng nguy cơ bệnh cơ hoặc tiêu cơ vân cấp",Erythromycin ức chế CYP3A4 mạnh làm giảm chuyển hóa của lovastatin,"Chống chỉ định phối hợp.
Cân nhắc thay đổi sang các thuốc nhóm khác có cùng chỉ định và ít có nguy cơ tương tác hơn:
- Trong trường hợp bắt buộc sử dụng kháng sinh macrolid, thay erythromycin bằng azithromycin HOẶC
- Trong trường hợp bắt buộc sử dụng dẫn chất statin, thay lovastatin bằng các dẫn chất statin khác (thận trọng khi phối hợp với pravastatin).",19AE6315-B9E0-4D01-B7AA-0FBEE65830AF
